id,county_id,calendar_year,base_estimate,population_estimate,population_change,births,deaths,natural_change,international_migration,domestic_migration,net_migration,residual,gq_base_estimate,gq_estimate
10423,11543,2020,12276,12280,4,18,55,,0,44,44,-3,623,623
10424,11544,2020,63404,63440,36,108,244,,0,184,184,-12,473,473
10425,11545,2020,21243,21249,6,40,115,,0,86,86,-5,77,77
10426,11546,2020,48939,48981,42,75,152,,-1,124,123,-4,8021,8021
10427,11547,2020,46143,46073,-70,124,173,,0,-17,-17,-4,483,483
10428,11548,2020,7395,7360,-35,17,36,,-1,-15,-16,0,986,986
10429,11549,2020,3579,3612,33,5,7,,0,36,36,-1,105,105
10430,11550,2020,9095,9092,-3,19,28,,0,6,6,0,86,86
10431,11551,2020,19802,19820,18,42,94,,0,70,70,0,117,117
10432,11552,2020,62423,62548,125,146,157,,0,138,138,-2,553,553
10433,11554,2020,38301,38210,-91,108,103,,2,-97,-95,-1,1217,1217
10434,11555,2020,170243,170570,327,490,414,,0,246,246,5,5906,5906
10435,11556,2020,44638,44517,-121,103,156,,2,-70,-68,0,2938,2938
10436,11557,2020,12941,12879,-62,21,54,,0,-28,-28,-1,3462,3462
10437,11558,2020,75907,76712,805,213,180,,-1,768,767,5,639,639
10438,11559,2020,6722,6721,-1,19,24,,0,5,5,-1,119,119
10439,11560,2020,503311,505013,1702,1374,1184,,9,1494,1503,9,3319,3319
10440,11561,2020,5202,5207,5,17,18,,0,7,7,-1,14,14
10441,11562,2020,17103,17089,-14,51,55,,0,-10,-10,0,900,900
10442,11564,2020,11746,11838,92,30,27,,0,91,91,-2,44,44
10443,11565,2020,96673,97135,462,254,265,,-1,473,472,1,697,697
10444,11566,2020,2747,2733,-14,5,8,,0,-10,-10,-1,91,91
10445,11567,2020,134554,134933,379,385,325,,2,311,313,6,6392,6392
10446,11568,2020,34435,34440,5,104,108,,1,11,12,-3,1232,1232
10447,11570,2020,5083,5090,7,14,11,,0,6,6,-2,171,171
10448,11571,2020,219561,219899,338,599,572,,17,294,311,0,4170,4170
10449,11574,2020,28666,28668,2,112,69,,1,-43,-42,1,696,696
10450,11575,2020,1290188,1296100,5912,3676,1738,,142,3686,3828,146,21743,21743
10451,11576,2020,19790,19769,-21,31,43,,0,-5,-5,-4,275,275
10452,11577,2020,56721,56669,-52,121,216,,0,48,48,-5,500,500
10453,11578,2020,539339,540700,1361,1517,1452,,-1,1295,1294,2,14355,14355
10454,11579,2020,421017,421191,174,1401,804,,-3,-436,-439,16,3123,3123
10455,11580,2020,1813,1806,-7,6,8,,0,-5,-5,0,42,42
10456,11581,2020,39654,39652,-2,104,129,,0,25,25,-2,344,344
10457,11582,2020,6529,6518,-11,11,16,,0,-5,-5,-1,258,258
10458,11583,2020,7354,7334,-20,15,22,,0,-12,-12,-1,986,986
10459,11584,2020,19663,19676,13,43,43,,0,12,12,1,4974,4974
10460,11585,2020,162847,162991,144,483,301,,1,-38,-37,-1,2353,2353
10461,11586,2020,2296,2290,-6,3,5,,0,-4,-4,0,6,6
10462,11587,2020,55122,54995,-127,146,226,,0,-44,-44,-3,902,902
10463,11588,2020,17191,17193,2,27,67,,0,43,43,-1,98,98
10464,11589,2020,30887,30905,18,82,84,,0,20,20,0,453,453
10465,11590,2020,1758,1761,3,6,6,,0,2,2,1,203,203
10466,11591,2020,29606,29599,-7,75,124,,1,44,45,-3,111,111
10467,11592,2020,7443,7425,-18,22,23,,0,-16,-16,-1,60,60
10468,11593,2020,171362,172646,1284,487,463,,-1,1261,1260,0,1384,1384
10469,11594,2020,71754,71776,22,200,253,,-1,78,77,-2,953,953
10470,11595,2020,6000,5987,-13,12,20,,0,-5,-5,0,124,124
10471,11597,2020,48622,48495,-127,129,206,,0,-47,-47,-3,1051,1051
10472,11598,2020,18500,18550,50,48,62,,0,64,64,0,1013,1013
10473,11599,2020,14061,14067,6,62,45,,0,-10,-10,-1,191,191
10474,11600,2020,711,707,-4,2,2,,0,-4,-4,0,23,23
10475,11601,2020,118034,117937,-97,292,349,,0,-35,-35,-5,2769,2769
10476,11603,2020,22382,22332,-50,70,69,,0,-51,-51,0,325,325
10477,11604,2020,9988,9979,-9,33,30,,1,-12,-11,-1,157,157
10478,11605,2020,22801,22741,-60,65,89,,0,-37,-37,1,2033,2033
10479,11606,2020,19798,19797,-1,38,75,,0,37,37,-1,1950,1950
10480,11607,2020,3202,3196,-6,13,11,,0,-8,-8,0,28,28
10481,11608,2020,637229,638824,1595,2261,2047,,-1,1431,1430,-49,7136,7136
10482,11609,2020,39281,39255,-26,121,140,,0,-6,-6,-1,295,295
10483,11611,2020,74015,74042,27,227,232,,0,29,29,3,484,484
10484,11612,2020,3672,3677,5,12,8,,0,2,2,-1,16,16
10485,11613,2020,32522,32439,-83,110,84,,0,-111,-111,2,2367,2367
10486,11614,2020,20851,20987,136,46,78,,0,170,170,-2,134,134
