id,iso2_region_code,iso3_region_code,code3,fips,county,state_or_province,country_or_region,latitude,longitude
10215,US,USA,840,18181.0,White,Indiana,US,40.74911165,-86.86492015
10216,US,USA,840,17083.0,Jersey,Illinois,US,39.08869046,-90.35393073
10217,US,USA,840,18067.0,Howard,Indiana,US,40.48527731,-86.11351892
10218,US,USA,840,26135.0,Oscoda,Michigan,US,44.68192279,-84.12939244
10219,US,USA,840,21051.0,Clay,Kentucky,US,37.16451126,-83.712575
10220,US,USA,840,37041.0,Chowan,North Carolina,US,36.12908077,-76.60118385
10221,MP,MNP,580,69.0,,Northern Mariana Islands,US,15.0979,145.6739
10222,US,USA,840,50021.0,Rutland,Vermont,US,43.57723578,-73.03741676
10223,US,USA,840,32031.0,Washoe,Nevada,US,40.66562265,-119.6631594
10224,US,USA,840,48293.0,Limestone,Texas,US,31.5454767,-96.58095444
10225,US,USA,840,37071.0,Gaston,North Carolina,US,35.29373559,-81.17477045
10226,US,USA,840,28113.0,Pike,Mississippi,US,31.17507789,-90.40392572
10227,US,USA,840,47085.0,Humphreys,Tennessee,US,36.03958805,-87.77992872
10228,US,USA,840,8023.0,Costilla,Colorado,US,37.27732493,-105.4276548
10229,US,USA,840,42057.0,Fulton,Pennsylvania,US,39.92913544,-78.11163677
10230,US,USA,840,51067.0,Franklin,Virginia,US,36.99536167,-79.88023649
10231,US,USA,840,48497.0,Wise,Texas,US,33.21570665,-97.65460265
10232,US,USA,840,13071.0,Colquitt,Georgia,US,31.18810588,-83.7677946
10233,US,USA,840,31141.0,Platte,Nebraska,US,41.57246836,-97.52144359
10234,US,USA,840,40073.0,Kingfisher,Oklahoma,US,35.94530008,-97.94193268
10235,US,USA,840,40033.0,Cotton,Oklahoma,US,34.28845626,-98.37053567
10236,US,USA,840,12131.0,Walton,Florida,US,30.64204028,-86.16935664
10237,US,USA,840,22063.0,Livingston,Louisiana,US,30.44143993,-90.73061664
