"primary_song_artist_id","primary_song_artist"
83,"Christina Aguilera"
84,"Erich Kunzel"
85,"Gloria Gaynor"
86,"The Black Eyed Peas"
87,"Doris Day"
88,"Dolly Parton"
89,"Phil Collins"
90,"Kelly Clarkson"
91,"Blondie"
92,"Toni Braxton"
93,"Peggy Lee"
94,"Madonna"
95,"Harry Connick Jr."
96,"Bonnie Tyler"
97,"Kool & The Gang"
98,"Bee Gees"
99,"Big & Rich"
100,"The Jimmy Castor Bunch"
101,"Nouvelle Vague"
102,"Ke$ha"
103,"Seal"
104,"Fontella Bass"
105,"Edwin McCain"
106,"Sam Cooke"
107,"Ray LaMontagne"
108,"Duran Duran"
109,"Billy Joel"
110,"ZZ Top"
111,"Ray Charles"
112,"Frank Sinatra"
113,"Avril Lavigne"
114,"Jennifer Hudson"
115,"Huey Lewis and the News"
116,"Rihanna"
117,"Taylor Swift"
118,"Five for Fighting"
119,"The Bangles"
120,"Billy Preston feat. Syreeta Wright"
121,"Los Lobos feat. Antonio Banderas"
122,"Dee C. Lee"
123,"Madcon"
124,"Lady Gaga"
125,"Cole Porter feat.Stacey Kent"
126,"Carl Douglas"
127,"Mika"
128,"Kander and Ebb"
129,"No Doubt"
130,"James Brown"
131,"The Troggs"
132,"Ritchie Valens"
133,"Phil Harris"
134,"Chuck Berry"
135,"Bob Seger"
136,"Tito Puente"
137,"Simple Minds"
138,"Roy Orbison"
139,"David Cook"
140,"Mariah Carey"
141,"Lou Bega"
142,"The Revels"
143,"Little Boots"
144,"Campo"
145,"Robin Thicke"
146,"Janet Jackson"
147,"Depeche Mode"
148,"Edwin Starr"
149,"101 Strings Orchestra"
150,"Lillix"
151,"Robert Palmer"
152,"Barry Manilow"
153,"The White Stripes"
154,"Little Richard"
155,"Buddy Greco"
156,"Lady Gaga featuring Colby O'Donis"
157,"The Clash"
158,"Dana Glover"
159,"Bachman-Turner Overdrive"
160,"Coldplay"
161,"Debby Boone"
162,"Billy & the Beaters"
163,"José Feliciano, Ewan McGregor & Jacek Koman"
164,"The Primitives"
165,"Jim Henson & Sam Pottle"
166,"Poison"
167,"Andy Williams"
168,"Harry Connick, Jr."
169,"Cole Porter"
170,"Jazmine Sullivan"
171,"Beyoncé"
172,"The Veronicas"
173,"from The King and I"
174,"Big Bad Voodoo Daddy"
175,"Angel Melendez and the 911 Orchestra"
176,"from Grease"
177,"Gloria Estefan"
178,"Rascal Flatts"
179,"Otis Redding"
180,"Sonny & Cher"
181,"Snap!"
182,"Gotan Project"
183,"Touch and Go"
184,"Johnny Rivers"
185,"Johnny Pacheco"
186,"Buddy Holly"
187,"Michael Franti & Spearhead"
188,"The Brian Setzer Orchestra"
189,"Nelly & Christina Aguilera"
190,"John Waite"
191,"Journey"
192,"La Roux"
193,"King Africa"
194,"Shakira"
195,"Kevin Lyttle"
196,"Teddybears"
197,"3 Doors Down"
198,"Stray Cats"
199,"Carlos Santana feat. Rob Thomas"
200,"Fred Wesley & The J.B.'s"
201,"The Chi-Lites"
202,"Michael Bublé"
203,"Bo Diddley"
204,"Josh Groban"
205,"John Paul Young"
206,"Lionel Richie & Diana Ross"
207,"The Black Crowes"
208,"The Beach Boys"
209,"The Rolling Stones"
210,"Wild Cherry"
211,"Prince"
212,"Simply Red"
213,"Sérgio Mendes"
214,"Filter"
215,"Henry Mancini"
216,"Marvin Gaye"
217,"Natalie Cole"
218,"Evanescence"
219,"Tina Turner"
220,"War"
221,"Brooks and Dunn"
222,"Sugarland"
223,"Akon"
