"segment_id","name","category","episode_id","segment_order_in_episode"
2021022013,"""Te Deseo lo Mejor""","Musical Performance",20210220,12
2021022014,"The Grocery Rap","Music Video",20210220,13
2021022015,"","Goodnights",20210220,14
202102131,"Tucker Carlson Tonight","Cold Opening",20210213,0
202102132,"","Monologue",20210213,1
202102133,"What's Your Type?","Game Show",20210213,2
202102134,"Pelotaunt","Commercial",20210213,3
202102135,"Commode & Commode","Commercial",20210213,4
202102136,"Birthday Gifts","Sketch",20210213,5
202102137,"The Negotiator","Film",20210213,6
202102138,"""Redemption""","Musical Performance",20210213,7
202102139,"","Weekend Update",20210213,8
2021021310,"Disco Queen","Sketch",20210213,9
2021021311,"Women's Theatre","Sketch",20210213,10
2021021312,"""A Little Honey""","Musical Performance",20210213,11
2021021313,"","Goodnights",20210213,12
202102061,"Super Bowl LV","Cold Opening",20210206,0
202102062,"","Monologue",20210206,1
202102063,"Universal Studios Tram Tour","Sketch",20210206,2
202102064,"Zillow","Commercial",20210206,3
202102065,"Super Bowl Pod","Sketch",20210206,4
202102066,"Lifting Our Voices","Show",20210206,5
202102067,"""Kyoto""","Musical Performance",20210206,6
202102068,"","Weekend Update",20210206,7
202102069,"Hot Damn","Sketch",20210206,8
2021020610,"Wedding Friends","Sketch",20210206,9
2021020611,"""I Know The End""","Musical Performance",20210206,10
2021020612,"It Gets Better","Commercial",20210206,11
2021020613,"","Goodnights",20210206,12
202101301,"What Still Works?","Cold Opening",20210130,0
202101302,"","Monologue",20210130,1
202101303,"Blue Georgia","Sketch",20210130,2
202101304,"The Loser","Film",20210130,3
202101305,"The Dividend","Show",20210130,4
202101306,"Now That's What I Call Theme Songs Sung By The Stars Of The Show","Commercial",20210130,5
202101307,"Pandemic Game Night","Sketch",20210130,6
202101308,"""My Ex's Best Friend""","Musical Performance",20210130,7
202101309,"","Weekend Update",20210130,8
2021013010,"Supermarket Sweep","Game Show",20210130,9
2021013011,"Subway Pitch","Sketch",20210130,10
2021013012,"""Lonely""","Musical Performance",20210130,11
2021013013,"Ratatouille","Sketch",20210130,12
2021013014,"","In Memoriam",20210130,13
2021013015,"","Goodnights",20210130,14
202012191,"Pence Gets The Vaccine","Cold Opening",20201219,0
202012192,"","Monologue",20201219,1
202012193,"Secret Word","Game Show",20201219,2
202012194,"Christmas Morning","Music Video",20201219,3
202012195,"U.S.O. Performance","Sketch",20201219,4
202012196,"A Teacher","Commercial",20201219,5
202012197,"Home Alone 2","Sketch",20201219,6
202012198,"""Don't Start Now""","Musical Performance",20201219,7
202012199,"","Weekend Update",20201219,8
2020121910,"The Grinch","Sketch",20201219,9
2020121911,"Surprise","Sketch",20201219,10
2020121912,"""Levitating""","Musical Performance",20201219,11
2020121913,"","Goodnights",20201219,12
202012121,"The Situation Room","Cold Opening",20201212,0
202012122,"","Monologue",20201212,1
202012123,"A Rona Family Christmas","Sketch",20201212,2
202012124,"Lexus","Commercial",20201212,3
202012125,"The Dionne Warwick Talk Show","Show",20201212,4
202012126,"The Farm","Film",20201212,5
202012127,"""Ghosts""","Musical Performance",20201212,6
202012128,"","Weekend Update",20201212,7
202012129,"Holiday Baking Championship","Show",20201212,8
2020121210,"XXX Rap Roundtable","Show",20201212,9
2020121211,"""I'll See You In My Dreams""","Musical Performance",20201212,10
2020121212,"Sportsmax","Commercial",20201212,11
2020121213,"","Goodnights",20201212,12
202012051,"Michigan Election Hearing","Cold Opening",20201205,0
202012052,"","Monologue",20201205,1
202012053,"Sleepover","Sketch",20201205,2
202012054,"Stu","Film",20201205,3
202012055,"Outdoor Cabaret","Sketch",20201205,4
202012056,"The Christmas Conversation","Film",20201205,5
202012057,"Morgan Wallen Party","Sketch",20201205,6
202012058,"""7 Summers""","Musical Performance",20201205,7
202012059,"","Weekend Update",20201205,8
2020120510,"Santa's Village","Sketch",20201205,9
2020120511,"""Still Goin Down""","Musical Performance",20201205,10
2020120512,"Bits","Film",20201205,11
2020120513,"","Goodnights",20201205,12
