"episode_id","aired_at","season_id","episode_order_in_season"
20160206,"February 6, 2016",41,12
20160123,"January 23, 2016",41,11
20160116,"January 16, 2016",41,10
20151219,"December 19, 2015",41,9
20151212,"December 12, 2015",41,8
20151205,"December 5, 2015",41,7
20151121,"November 21, 2015",41,6
20151114,"November 14, 2015",41,5
20151107,"November 7, 2015",41,4
20151017,"October 17, 2015",41,3
20151010,"October 10, 2015",41,2
20151003,"October 3, 2015",41,1
20150516,"May 16, 2015",40,21
20150509,"May 9, 2015",40,20
20150502,"May 2, 2015",40,19
20150411,"April 11, 2015",40,18
20150404,"April 4, 2015",40,17
20150328,"March 28, 2015",40,16
20150307,"March 7, 2015",40,15
20150228,"February 28, 2015",40,14
20150131,"January 31, 2015",40,13
20150124,"January 24, 2015",40,12
20150117,"January 17, 2015",40,11
20141220,"December 20, 2014",40,10
20141213,"December 13, 2014",40,9
20141206,"December 6, 2014",40,8
20141122,"November 22, 2014",40,7
20141115,"November 15, 2014",40,6
20141101,"November 1, 2014",40,5
20141025,"October 25, 2014",40,4
20141011,"October 11, 2014",40,3
20141004,"October 4, 2014",40,2
20140927,"September 27, 2014",40,1
20140517,"May 17, 2014",39,21
20140510,"May 10, 2014",39,20
20140503,"May 3, 2014",39,19
20140412,"April 12, 2014",39,18
20140405,"April 5, 2014",39,17
20140329,"March 29, 2014",39,16
20140308,"March 8, 2014",39,15
20140301,"March 1, 2014",39,14
20140201,"February 1, 2014",39,13
20140125,"January 25, 2014",39,12
20140118,"January 18, 2014",39,11
20131221,"December 21, 2013",39,10
20131214,"December 14, 2013",39,9
20131207,"December 7, 2013",39,8
20131123,"November 23, 2013",39,7
20131116,"November 16, 2013",39,6
20131102,"November 2, 2013",39,5
20131026,"October 26, 2013",39,4
20131012,"October 12, 2013",39,3
20131005,"October 5, 2013",39,2
20130928,"September 28, 2013",39,1
20130518,"May 18, 2013",38,21
20130511,"May 11, 2013",38,20
